Time	V1	V2	V3	Pressure1	Pressure2	OGTime	Constant
3.503	0	1	0	56.83	0	3503	
3.529	0	1	0	57.55	-3.12	3529	
3.552	0	1	0	54.52	-0.79	3552	
3.577	0	1	0	52.42	-0.36	3577	
3.602	0	1	0	21.96	6.08	3602	
3.627	0	1	0	6.01	0.6	3627	
3.652	0	1	0	0.52	0.29	3652	
3.677	0	1	0	0	0.05	3677	
3.702	0	1	0	0.36	0.12	3702	
3.727	0	1	0	-0.52	0.05	3727	
3.752	0	1	0	-0.48	0.12	3752	
3.786	0	1	0	0.12	-0.07	3786	
3.802	0	1	0	-0.24	0.12	3802	
3.827	0	1	0	0.19	0.24	3827	
3.852	0	1	0	0.24	0.29	3852	
3.877	0	1	0	0.12	0.12	3877	
3.903	0	1	0	-0.05	0.24	3903	
3.927	0	1	0	0.07	0.05	3927	
3.952	0	1	0	-0.05	-0.31	3952	
3.977	0	1	0	-0.17	-0.07	3977	
4.002	0	1	0	-0.05	-0.19	4002	
4.035	0	1	0	0	0.36	4035	
4.052	0	1	0	-0.24	-0.12	4052	
4.092	0	1	0	-0.12	0.05	4092	
4.102	0	1	0	-0.05	0.12	4102	
4.128	0	1	0	-0.12	0.12	4128	
4.152	0	1	0	0	-0.48	4152	
4.177	0	1	0	-0.29	0.12	4177	
4.202	0	1	0	-0.29	0.12	4202	
4.227	0	1	0	-0.48	0.41	4227	
4.252	0	1	0	-1	-0.31	4252	
4.279	0	1	0	0	0	4279	
4.302	0	1	0	-0.29	0	4302	
4.327	0	1	0	0	0	4327	
4.352	0	1	0	0.24	-0.07	4352	
4.377	0	1	0	0.12	0	4377	
4.402	0	1	0	0.24	0.05	4402	
4.427	0	1	0	0.19	-0.48	4427	
4.452	0	1	0	-0.17	0.41	4452	
4.477	0	1	0	-0.24	0.17	4477	
4.502	0	1	0	-0.41	0	4502	
4.527	0	1	0	-0.48	0.05	4527	
4.552	0	1	0	-0.24	0.41	4552	
4.577	0	1	0	-0.05	0.05	4577	
4.602	0	1	0	-0.24	0.17	4602	
4.627	0	1	0	-0.36	0.48	4627	
4.652	0	1	0	-0.48	0.52	4652	
4.677	0	1	0	0.12	0.36	4677	
4.702	0	1	0	-0.48	0.48	4702	
4.727	0	1	0	0.12	0.12	4727	
4.752	0	1	0	0.07	0	4752	
4.777	0	1	0	0.12	-0.07	4777	
4.802	0	1	0	-0.24	-0.36	4802	
4.827	0	1	0	0.12	0.24	4827	
4.852	0	1	0	-0.12	0	4852	
4.897	0	1	0	-0.12	0.05	4897	
4.907	0	1	0	-0.05	-0.07	4907	
4.927	0	1	0	-0.17	-0.19	4927	
4.952	0	1	0	-0.72	-0.12	4952	
4.977	0	1	0	-0.6	0	4977	
5.002	0	1	0	-0.48	-0.07	5002	
5.027	0	1	0	-0.41	0.17	5027	
5.052	0	1	0	0.19	0.05	5052	
5.078	0	1	0	-0.24	0.17	5078	
5.102	0	1	0	0.07	0.24	5102	
5.127	0	1	0	0	-0.31	5127	
5.152	0	1	0	0.12	-0.07	5152	
5.179	0	0	0	-0.24	-0.19	5179	
5.207	0	0	0	0	-0.48	5207	
5.227	0	0	0	3.27	-1.62	5227	
5.253	0	0	0	1.67	0.6	5253	
5.277	0	0	0	0.52	0.36	5277	
5.302	0	0	0	0.76	-0.07	5302	
5.328	0	0	0	0.19	-0.19	5328	
5.352	0	0	0	-0.12	0	5352	
5.378	0	0	0	-0.36	-0.24	5378	
5.402	0	0	0	-0.29	0	5402	
5.427	0	0	0	-0.52	-0.36	5427	
5.452	0	0	0	0.36	-0.19	5452	
5.478	0	0	0	0.41	-0.36	5478	
5.505	1	0	1	0.83	-0.36	5505	
5.532	1	0	1	0.48	-0.24	5532	
5.552	1	0	1	7.03	0.05	5552	
5.579	0	0	0	40.98	0.12	5579	
5.602	0	0	0	68.94	-0.07	5602	
5.627	0	0	0	71.45	0.29	5627	
5.654	0	0	0	69.54	0.12	5654	
5.677	0	0	0	71.45	0.29	5677	
5.702	0	0	0	71.49	-0.19	5702	
5.727	0	0	0	71.26	-0.72	5727	
5.752	0	0	0	71.02	-0.55	5752	
5.777	0	0	0	70.54	-0.48	5777	
5.802	0	0	0	70.37	-0.07	5802	
5.827	0	0	0	70.37	0	5827	
5.852	0	0	0	70.3	0.12	5852	
5.878	0	0	0	69.54	-0.07	5878	
5.902	0	0	0	69.54	0.41	5902	
5.927	0	0	0	69.78	-0.12	5927	
5.952	0	0	0	69.18	0.12	5952	
5.977	0	0	0	68.99	0.24	5977	
6.002	0	0	0	69.06	-0.07	6002	
6.027	0	0	0	68.59	0	6027	
6.052	0	0	0	68.47	0.05	6052	
6.077	0	0	0	67.87	0.36	6077	
6.102	0	0	0	67.99	0.24	6102	
6.127	0	0	0	67.82	0	6127	
6.152	0	0	0	67.75	0.29	6152	
6.177	0	0	0	67.94	0.24	6177	
6.202	0	0	0	67.63	0.05	6202	
6.227	0	0	0	67.04	-0.12	6227	
6.252	0	0	0	67.04	0.12	6252	
6.277	0	0	0	67.27	0	6277	
6.302	0	0	0	67.35	0.41	6302	
6.327	0	0	0	67.27	-0.36	6327	
6.352	0	0	0	67.39	0	6352	
6.377	0	0	0	67.23	0.05	6377	
6.402	0	0	0	66.87	0.36	6402	
6.427	0	0	0	66.39	-0.07	6427	
6.452	0	0	0	66.92	0.29	6452	
6.478	0	0	0	66.92	-0.19	6478	
6.502	0	0	0	66.32	0.05	6502	
6.555	0	0	0	66.68	0.05	6555	
6.566	0	0	0	66.75	0.17	6566	
6.577	0	0	0	66.51	-0.12	6577	
6.602	0	0	0	66.2	0.05	6602	
6.627	0	0	0	66.44	-0.07	6627	
6.652	0	0	0	65.96	0.24	6652	
6.677	0	0	0	65.92	-0.12	6677	
6.702	0	0	0	66.2	0.05	6702	
6.727	0	0	0	66.2	-0.07	6727	
6.752	0	0	0	66.2	0.24	6752	
6.777	0	0	0	65.56	0.36	6777	
6.802	0	0	0	65.84	-0.24	6802	
6.827	0	0	0	65.8	0.12	6827	
6.852	0	0	0	65.92	0.29	6852	
6.877	0	0	0	65.44	0.05	6877	
6.902	0	0	0	65.56	-0.24	6902	
6.927	0	0	0	65.68	-0.19	6927	
6.952	0	0	0	65.49	-0.36	6952	
6.977	0	0	0	66.03	0.48	6977	
7.002	0	0	0	65.61	-0.55	7002	
7.027	0	0	0	66.08	0.05	7027	
7.052	0	0	0	65.56	0.12	7052	
7.077	0	0	0	65.2	0	7077	
7.102	0	0	0	65.32	-0.12	7102	
7.127	0	0	0	64.84	0.12	7127	
7.152	0	0	0	64.77	-0.24	7152	
7.177	0	0	0	65.13	-0.12	7177	
7.202	0	0	0	65.13	0	7202	
7.227	0	0	0	64.96	0.05	7227	
7.252	0	0	0	64.6	0.05	7252	
7.277	0	0	0	64.96	-0.12	7277	
7.302	0	0	0	64.77	0.24	7302	
7.327	0	0	0	64.89	0.17	7327	
7.352	0	0	0	64.49	0.29	7352	
7.377	0	0	0	64.53	-0.07	7377	
7.402	0	0	0	64.29	-0.24	7402	
7.427	0	0	0	64.25	-0.19	7427	
7.452	0	0	0	64.29	0.29	7452	
7.477	0	0	0	64.25	-0.24	7477	
7.502	0	0	0	64.6	0.12	7502	
7.527	0	0	0	64.49	0.17	7527	
7.552	0	0	0	64.13	0.17	7552	
7.577	0	0	0	64.01	0	7577	
7.602	0	0	0	63.82	-0.31	7602	
7.627	0	0	0	63.94	0.05	7627	
7.652	0	0	0	63.94	0.17	7652	
7.677	0	0	0	63.89	0.29	7677	
7.702	0	0	0	63.89	-0.43	7702	
7.727	0	0	0	63.17	-0.12	7727	
7.752	0	0	0	63.77	-0.31	7752	
7.777	0	0	0	64.25	-0.36	7777	
7.802	0	0	0	64.13	-0.31	7802	
7.827	0	0	0	64.13	-0.07	7827	
7.852	0	0	0	63.7	-0.19	7852	
7.877	0	0	0	63.82	0.12	7877	
7.902	0	0	0	63.82	0	7902	
7.927	0	0	0	63.89	0.41	7927	
7.952	0	0	0	63.46	0.52	7952	
7.977	0	0	0	63.46	0.05	7977	
8.002	0	0	0	63.06	0.29	8002	
8.027	0	0	0	63.29	0.12	8027	
8.052	0	0	0	63.29	0.12	8052	
8.077	0	0	0	63.89	0.17	8077	
8.102	0	0	0	63.82	-0.07	8102	
8.127	0	0	0	63.41	0	8127	
8.152	0	0	0	63.7	-0.19	8152	
8.177	0	0	0	63.29	0	8177	
8.202	0	0	0	63.22	0.24	8202	
8.246	0	0	0	63.22	0	8246	
8.254	0	0	0	63.41	-0.07	8254	
8.277	0	0	0	63.29	-0.07	8277	
8.303	0	0	0	63.41	0.24	8303	
8.327	0	0	0	62.63	0.24	8327	
8.352	0	0	0	63.34	0.17	8352	
8.377	0	0	0	62.94	0.05	8377	
8.402	0	0	0	62.98	-0.07	8402	
8.427	0	0	0	63.06	-0.24	8427	
8.452	0	0	0	63.17	-0.12	8452	
8.477	0	0	0	62.7	0.29	8477	
8.502	0	0	0	62.75	0	8502	
8.527	0	0	0	63.46	0.24	8527	
8.552	0	0	0	62.82	0.05	8552	
8.577	0	0	0	63.1	0	8577	
8.602	0	0	0	62.75	-0.12	8602	
8.627	0	0	0	62.7	-0.31	8627	
8.652	0	0	0	62.94	0.05	8652	
8.678	0	0	0	62.34	0.05	8678	
8.702	0	0	0	62.34	-0.12	8702	
8.727	0	0	0	62.51	0.05	8727	
8.752	0	0	0	62.63	-0.12	8752	
8.777	0	0	0	62.51	-0.07	8777	
8.802	0	0	0	62.82	-0.19	8802	
8.827	0	0	0	62.82	-0.43	8827	
8.854	0	0	0	62.39	-0.07	8854	
8.879	0	0	0	62.46	0	8879	
8.902	0	0	0	62.46	-0.12	8902	
8.928	0	0	0	62.34	-0.12	8928	
8.952	0	0	0	62.39	-0.36	8952	
8.978	0	0	0	62.63	-0.24	8978	
9.002	0	0	0	62.22	-0.07	9002	
9.028	0	0	0	61.86	0.05	9028	
